part,variant,msg_size,threads,duration_sec,total_rx_bytes,agg_throughput_gbps,avg_rtt_us,max_rtt_us,time_sec,server_cycles,server_L1_dcache_load_misses,server_LLC_load_misses,server_context_switches
1,V1,8192,4,10,35051225088,28.041,9.312,3050.900,10.00,188041862154,2819867906,323536,4268587
1,V1,16384,4,10,68466081792,54.772,9.535,2099.790,10.00,190501636074,4174265309,43679,4169478
1,V1,32768,4,10,113013227520,90.410,11.565,650.430,10.00,200203446750,6180339402,93950,3437565
1,V1,65536,4,10,142392164352,113.913,18.370,1078.000,10.00,173872236792,6365607620,97979,2168950
1,V2,65536,6,10,168242380800,134.594,23.325,540.730,10.00,245646836737,8544869534,15963,2562845
1,V2,65536,8,10,144650534912,115.719,36.178,660.240,10.00,233373307527,7867161682,70517,2219455
1,V2,65536,10,10,248553275392,198.842,26.328,1883.220,10.00,439922129043,14384846597,1746447,3803081
1,V2,65536,12,10,317134012416,253.707,24.758,824.770,10.00,493730456328,17589910056,1282945,4875581
2,V1,8192,4,10,33867251712,27.094,9.637,405.410,10.00,165386124056,2228314151,9298,4124639
2,V1,16384,4,10,60690284544,48.552,10.760,630.850,10.00,165409433422,2943118778,6242,3692077
2,V1,32768,4,10,98491006976,78.793,13.268,820.990,10.00,161174902596,3429221414,15877,2998438
2,V1,65536,4,10,145640062976,116.512,17.957,475.300,10.00,159877671915,3946730352,13247,2217928
2,V2,65536,6,10,182484860928,145.988,21.505,756.670,10.00,235373960829,5613107189,19538,2782105
2,V2,65536,8,10,170582933504,136.465,30.694,560.540,10.00,238843545746,5593268347,62411,2607900
2,V2,65536,10,10,285548150784,228.436,22.921,964.310,10.00,409892800751,9904691524,1603904,4369819
2,V2,65536,12,10,365057605632,292.046,21.515,1493.610,10.00,463858729100,11937874729,795324,5600703
3,V1,8192,4,10,26475225088,21.180,12.335,550.980,10.00,174433347992,1808863232,5993,3226602
3,V1,16384,4,10,48053305344,38.443,13.598,462.950,10.00,176319872036,2516769069,9351,2927045
3,V1,32768,4,10,85413724160,68.331,15.305,941.270,10.00,182279956963,3165719655,12508,2600092
3,V1,65536,4,10,126982225920,101.586,20.605,2425.160,10.00,182257824529,3644168300,247278,1933614
3,V2,65536,6,10,153462636544,122.771,25.585,2897.930,10.00,255929625601,5065625215,464669,2340854
3,V2,65536,8,10,145718968320,116.576,35.924,4320.950,10.00,270541791126,5201935441,272143,2233310
3,V2,65536,10,10,213918547968,171.134,30.589,4923.930,10.00,444386908835,7664287819,579320,3267408
3,V2,65536,12,10,256402259968,205.120,30.628,4897.520,10.00,497145802543,8729818749,728542,3923971
